epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1269,0.70224,1.25397,0.90203,0.90551,0.42006,0.2211,0.22023,0.18694,0.41774,0.21933,0.21677,0.17596,1.0718,2.16252,2.76827,1.10499,5.20882e-05,5.20882e-05,5.20882e-05
2,31.5283,0.66623,1.22622,0.85346,0.88141,0.35547,0.19698,0.18947,0.15966,0.35107,0.19739,0.1869,0.14577,1.06604,2.09927,2.81347,1.10529,0.000105748,0.000105748,0.000105748
3,43.4375,0.70848,1.29381,0.91491,0.90275,0.41589,0.20707,0.21258,0.17753,0.40867,0.20633,0.20988,0.16162,1.08668,2.14141,2.85523,1.12339,0.000159383,0.000159383,0.000159383
4,55.3972,0.69192,1.27093,0.88763,0.89446,0.37705,0.22601,0.20384,0.16753,0.39834,0.22329,0.20163,0.15669,1.12038,2.20856,2.80835,1.13346,0.000160912,0.000160912,0.000160912
5,67.3119,0.70179,1.28038,0.95267,0.90428,0.42172,0.17172,0.19247,0.16089,0.44113,0.17026,0.19109,0.15136,1.11134,2.235,2.99144,1.13155,0.000160843,0.000160843,0.000160843
6,79.4706,0.71249,1.30641,0.93956,0.90648,0.23602,0.21566,0.17178,0.14356,0.23661,0.19325,0.17157,0.13477,1.10685,2.24423,2.89799,1.11017,0.000160754,0.000160754,0.000160754
7,91.6248,0.69802,1.26134,0.93187,0.90019,0.3563,0.19219,0.15879,0.13442,0.3587,0.1916,0.15721,0.12068,1.15242,2.26094,3.00865,1.16048,0.000160646,0.000160646,0.000160646
8,103.676,0.72451,1.33904,0.98514,0.9076,0.53529,0.16805,0.20011,0.17178,0.53213,0.16694,0.19797,0.1629,1.12084,2.26353,2.97652,1.14222,0.000160519,0.000160519,0.000160519
9,115.633,0.73588,1.35328,0.97285,0.915,0.46967,0.18864,0.20356,0.17269,0.46007,0.18432,0.19898,0.15931,1.13717,2.27967,2.9481,1.13899,0.000160372,0.000160372,0.000160372
10,127.396,0.70492,1.27618,0.92173,0.9067,0.36654,0.20986,0.18415,0.15325,0.35853,0.2075,0.18058,0.1379,1.10886,2.2375,3.01164,1.11664,0.000160205,0.000160205,0.000160205
11,139.387,0.74777,1.36704,0.98703,0.91348,0.48347,0.17345,0.17702,0.14629,0.48586,0.1733,0.17392,0.13571,1.11236,2.19435,2.8923,1.11793,0.000160019,0.000160019,0.000160019
